SL No,Customer Type,Customer Name,About Customer,Industry,Service Area,Project/Case Study Title,Short Description,Key Words,Tech Stacks,SharePoint Link
13,enterprise,bira91,client is an indian craft beer brand engaged in the manufacturing of alcoholic beverages,food & beverages,data engineering,design & development of data warehouse &�analytics platform?,"client had 32+ standalone systems from where data was inflowing in excel format and so it was looking to develop data warehouse as a single data source and implement tableau-based bi dashboards for taking efficient business decisions. as a solution to this, nitor data from multiple source systems using azure data factory & python and fed it to the data warehouse for dashboarding & report generation. we used techniques such as data modelling, data quality checks, de-duplication etc. which helped the client with automated upstreaming of data from multiple systems and provide a consolidated view for taking better business decisions.","manual analysis, legacy system, data quality, data sources, master data management, data modelling, data standardization, crm, erp, sap, salesforce, reports & dashboards","tableau, azure data factory (adf), azure databrick, azure sql, python, azure data lake storage",sn013_bira-91_design & development of data warehouse & analytics platform_v1.0.pdf
14,enterprise,bvc logistics,the client is a distinguished market leader in providing secure logistics for the diamond & jewelry value chain,logistics,outsystems,modernization of legacy application using�outsystems?,redeveloped the customer's brokerage solutions by making a replica of the existing app with a new app using an advanced low-code platform and integrating it with sap?,"brokerage solution, low-code platform, scalability, sap integration","outsystems, sap, .net",sn014_bvc logistic_modernization of legacy system using outsystemss_case study_v1.0.pptx
15,enterprise,deepak fertilizers,"a leader in product portfolio of industrial chemicals, speciality fertilizers, farming diagnostics, fresh produce, ammonium nitrate, etc.",chemical manufacturing,data engineering,harnessed the power of data using cxo dashboards,"developed cxo-level dashboards by consolidating the customer's data based on various kpis (product data, loyalty data, customer data, operations data, etc.) to optimize the customer's overall sales & marketing functions","sales & marketing, data consolidation, data lake, dashboards","azure data lake, azure data lake analytics, azure dta factory, azure machine learning azure kubernetes, power bi, python, angular",sn015_dfpcl_case study_data engineering.pdf
16,enterprise,deepak fertilizers,"a leader in product portfolio of industrial chemicals, speciality fertilizers, farming diagnostics, fresh produce, ammonium nitrate, etc.",chemical manufacturing,outsystems,meeting effectiveness system using outsystems,"nitor�offered the client a comprehensive solution comprising a meeting�tracker, task dashboard, action item screen, and meeting effectiveness�reports, enabling the client to establish clear goals and improve their�meeting processes.?","meeting process, mom tracking, meeting task tracking, enhanced collaboration & communication, information sharing, role-based access, reports & dashboards, employee angagement, productivity, ",outsystems,sn016_dfpcl_case study_meeting effectiveness_v1.0.pptx
17,enterprise,deepak fertilizers,"a leader in product portfolio of industrial chemicals, speciality fertilizers, farming diagnostics, fresh produce, ammonium nitrate, etc.",chemical manufacturing,outsystems,plant performance information systems,"nitor�created a progressive web application that included a user-friendly�data entry screens, performance dashboard, schedulers, notifications, email�alerts, and timely management reports enabling the client to establish clear�objectives and help them address their challenges effectively.�?","plant data, plant operations, production, raw material stock & usage, automated ledgers, reports & dashboards, notifications, email alerts, schedulers, data monitoring, role-based access, single source of truth, performance monitoring & benchmarking, decision making",outsystems,sn017_dfpcl_case study_ppis_v1.0.pptx
18,isv,epgpla,an isv offering software�s and services to education & training industry across the north america region.?,edtech,business intelligence analytics,bi and analytics to a leading education and�?training solution provider in usa,a team of 8 bi specialist understood the overall process and information�flow from various systems and designed the etl architecture with�different staging layers to handle the complexity and consolidated the�required information into meaningful format for reporting and�analysis.?,"business intelligence analytics, etl architecure, reporting framework, olap, learning & skill assessment, security framework, role-based consumption of data & reports","sql server 2008 r2 business intelligence suite including ssis, ssas, ssrs, sharepoint server 2010 as presentation layer",sn018_epgpla_case study_bi.pptx
19,enterprise,exim bank,the client is a leading�import & export finance institution of india?,finance,powerapps,empowering cloud access of on-premise application through powerapps integration?,nitor team successfully developed the solution to integrate the�leave application with improved ui/ux on power apps that enabled�users to access the leave module from their mobile or tablet�devices without the need to connect to vpn.?,"responsive ui/ux, leave application, leave management, productivity","microsoft power apps, microsoft power automate, on-premise data gateway (to connect with sharepoint 2013)",sn019_exim bank_leave management application_case study_v1.0.pptx
20,enterprise,exim bank,the client is a leading�import & export finance institution of india?,finance,web application development,intranet portal development,"developed an intranet portal that enabled collaboration & sharing of documents with ease, employee communication, customized workspace for each department, and enterprise level secuity features to provide capability, scalability & reliability to the customer's business processes","communication, intranet portal, custom layouts, end-to-end visibility, real-time monitoring of processes, elimination of manual dependencies, scalability, enterprise-level security, approval mechanism, business productivity, digital protection","sharepoint online, spfx, sharepoint site structure, typescript, react",sn020_exim_case study_intranet portal development_v1.0.pptx
21,enterprise,fiat,"the client is the leader in italy and one of the largest automobile companies, known for its production of cars & engines",automobile,power platform,business analytics dashboards,"developed a mobile application that helped the executive-level management and�?business function heads to expedite the decision-making process by analyzing the reports & dashboards for kpis such as travel management, power train dispatch summary, production analysis, etc.","travel management,�production analysis,�power train�dispatch summary,�gross revenue,�cash & bank balance,�monthly car�invoicing,�docker checklist,�capex, attrition rate,�purchase requisition,�car�invoice overview,�realtime inventory insights?","microsoft powerapps, microsoft power automate, microsoft sql server, sap, sharepoint",sn021_fiat_powerplatform_case study_business analytics dashboards_v2.0.pptx
22,enterprise,fiat,"the client is the leader in italy and one of the largest automobile companies, known for its production of cars & engines",automobile,mobile application development,development and integration of�pointdb�with power apps,nitor developed a mobility solution using power apps which will�directly connect with point db backend database (mssql) via�power apps connector which can be accessed without a vpn.�?,"mobility solution, stakeholders collaboration, improve work efficiency, car invoice, application integration, mobile friendly ui design, data management, ","sap, powerapps, pointdb, ms sql",sn022_fiat_development and integration of pointdb with power apps_case study_v1.0.pptx
23,enterprise,fiat,"the client is the leader in italy and one of the largest automobile companies, known for its production of cars & engines",automobile,sharepoint,sharepoint platform migration?,nitor migrated customer's existing portal from sharepoint 2016�to sharepoint 2019 with modernization and content management features,"application/platform migration, custom application, modern site & management features, site security, patch management, enhanced search experience","sharepoint 2016, sharepoint 2019, sharepoint online",sn023_fiat_sharepoint_sharepoint 2016 to 2019 migration_v1.0.pptx
24,enterprise,fiat,"the client is the leader in italy and one of the largest automobile companies, known for its production of cars & engines",automobile,power platform,development & integration of sap with powerapps?,nitor developed a platform using power apps and integrated it with sap via business application programming interface (bapi) to display a dashboard of car invoice details which were previously being sent via timely scheduled emails,"business application programming interface (bapi), car invoice, dashboards","sap, powerapps, business application programming interface (bapi)",sn024_fiat_development and sap intergration_case study_v1.0.pptx
25,isv,accomodations plus international (api),client offers accomodation management solutions for the crew members of multiple airlines,hospitality,data engineering,data engineering & analytics platform,"client wanted to consolidate the data spread across multiple sources like aces, crew details, salesforce, jet, hotel express & ic business manager, etc. and implement a data warehouse as a single source of truth to improve data analysis. nitor built an enterprise-level data warehouse solution by designing dimensional model & developed data pipelines using aws glue to perform elt & cleansing of inconsistent data. this helped the client to monitor complete data movement from heterogeneous and homogeneous source systems to dashboards & reports which were published on a cloud with microsoft power bi on mobile and tablets.","data consolidation, data warehouse, data analysis, data pipelines, elt, data cleansing, reports & dashboards","aws glue, aws aurora, aws s3, slack power bi",sn025_apihotels_case study_data engineering & analytics platform.pptx
26,enterprise,blue star,client is indian multinational home appliances company that specializes in air conditioning & commercial refrigeration,electrical appliance manufacturing,ocr,smartphone based business card reader for ac manufacturing company?,"nitor built a standalone business card reader application for android smartphone. we used image processing techniques to pre-process card�s image, which might have taken from difficult angles, unfavorable light conditions etc.?","card reader application, image processing, optical character recognition (ocr) ","ocr, c++, tesseract",sn026_blue star_case study_ocr.pptx
27,isv,furst person,"client provides a web-based hiring platform that specializes in helping businesses hire for direct customer facing jobs including service, sales, and support roles",software development,aws,database migration from rackspace to aws,nitor migrated client's existing database of 245 gb from its rackspace cloud to aws with zero downtime for uninteruppted service. we also implemented new failover techniques and handled incremental dasbase backups,"database, zero downtime, failover techniques, incremental database","rackspace, aws",sn027_furstperson_case study_data migration.pptx
28,enterprise,hme,"client is a global leader that designs, manufactures, sells & services hospitality & speciality communication systems for a variety of niche markets in over 140 countries worldwide.",electrical appliance manufacturing,data engineering,data analytics platform,"nitor built an enterprise-level data warehouse solution that empowered business users with self-servicing bi portal for all reporting types like operational reports, canned reports, etc. we also eliminated the client's existing manual data collection & transformation processes along with data consolidation from their wide-ranging business functions.","data warehouse, bi portal, reports, data consolidation, data analytics, single sign-on, alert mechanism, machine laerning, ai, predictive analytics, nlp (natural language processing)","msbi suite, azure data factory, azure analysis services, azure data lake, power bi, azure database, azure databricks",sn028_hme_case study_data consulting engagement case study.pdf
29,enterprise,kalpataru,"client�is one of the top builders in mumbai, india which aims to provide best and well-crafted homes & thoughtfully designed commercial spaces.",real estate,"web application development, ocr",document management system,nitor developed an kofax ocr-based document management system (dms) where the ocr captured information from various business documents and stored them in the dms by selecting the appropriate template type. these templates served as the metadata for the client.,"ocr, document management system (dms), business documents, templates, metadata","kofax, sharepoint 2013, opentext bravia (to visualize the autocad/.dwg docs",sn029_kalpataru_case study_document management system.pptx
30,enterprise,kawasaki,"client is a japanese public multinational corporation manufacturer of motorcycles, engines, heavy equipment, aerospace and defense equipment, rolling stock and ships",automobile & aerospace equipment manufacturing,business intelligence analytics,bi dashboards solution,"nitor developed a bi solution for the client's sales & procurement department to provide insights into inventory details, effectively plan the production and assess the sales performance of the different products across the globe.","bi solution, procurement, inventory, sales, data integration, data cleansing, database, data warehousing, dashboards","sharepoint 2010, sql server 2008, ssis, ssas, ssrs, performance point services in sharepoint 2010",sn030_kawasaki_case study_bi dashboards solution.pptx
31,enterprise,lear corporation,"client is�a global automotive technology leader in seating and e-systems, delivering intelligent in-vehicle experiences for customers around the world.",automotive,web application development,quotation & invoice management system,"nitor developed an web application to avoid and automate the client's manual invoicing process which lead to ligh latency in their business processes. we integrated the web application with postgre sql for effectively using the quotation & invoicing data. the application had multiple modules like quotation management, invoice management, user management, master data management, etc.","web application, manual invoicing process, quotation, quotation management, invoice management, user management, master data management","angular 7, java spring framework, postgre sql, tomcat 7, ngnix",sn031_lear_case study_quotation & invoice management.pptx
32,isv,netcore,"client is a globally recognized saas company, offering a full-stack of martech solutions that help product and growth marketers deliver ai-powered intelligent customer experiences, across all touchpoints of the user�s journey. ",software development,web application development,analytics portal development using angular & big data,"nitor developed an analytics portal with horizontal scalability (for parallel processing) feature for marketers to perform ad-hoc analytics (eg. funnel, cohort, etc.) based on customer's input data trend. the portal was developed using angular & java and the big data ecosystem was built using mongodb, spark sql, etc.","analytics portal, elt, data lake, real-time analytics, big data, horizontal scaling, data migration","mongodb, spark sql, spark mllib, angular.js, d3.js, java web services, talend",sn032_netcore_case study_analytics portal development.pptx
33,isv,netcore,"client is a globally recognized saas company, offering a full-stack of martech solutions that help product and growth marketers deliver ai-powered intelligent customer experiences, across all touchpoints of the user�s journey. ",software development,ai & ml,email sto (send time optimization) & slo (subject line optimization),nitor�implemented a machine learning and artificial�intelligence solution that could suggest best subject line (subject line optimization - slo) & predict�the best time to send an email (send time�optimization � sto) to improve the chances of opening�?an email,"artificial intelligence, machine learning, subject line optimization (slo), send time optimization (sto)","aiml, r, tableau, mongo db, customized apis",sn033_netcore_case study_email slo & sto.pptx
34,enterprise,newfields,client is a manufacturer of dairy-free plant-based cheeses made from plant protein sources?,manufacturing,web application development,digital transformation for enhanced efficiency & product quality?,"nitor developed a responsive web application with a user-friendly�interface, designed to maximize adoption and leverage existing it�investments.? the application's key modules and screens cover work order details, batch management, quality management, recipe ingredients, equipment monitoring, process detailing, and comprehensive reporting for data analysis. ?","responsive web application, batch management, quality management, recipe ingredients, equipment monitoring, process detailing, real-time production monitoring, inventory reporting, analytical reports","frontend (typescript, javascript, scss, angular, material ui); backend (.net core, sql server)",sn034_newfields_case study_digital transformation for enhanced efficiency & product quality.pptx
35,isv,optima healthcare solutions,"a leading provider of cloud-based software for post-acute care providers, including contract therapy�companies, skilled nursing facilities, outpatient clinics and home health agencies?",healthcare,support,application maintenance & support,nitor provided maintenance & support service to the client by integrating health data in efficient & secured way with different pharmacy benefit management providers. we also handled complex structure of the patient forms through redis cluster caching alongwith timely implementation of compliance related features.,"support, maintenance, health data integration, redis cluster, compliance","j2ee, java 8, spring boot, hibernate, prime faces / jsf 2.0",sn035_optima healthcare solutions_case study_application maintenance & support.pptx
36,isv,optima healthcare solutions,"a leading provider of cloud-based software for post-acute care providers, including contract therapy�companies, skilled nursing facilities, outpatient clinics and home health agencies?",healthcare,support,database maintenance & support,"nitor provided 18x7 weekdays & 'one shift' over weekend maintenance & support for the client's ehr system by monitoring the 20 db servers using spotlight tool. along with this, we also provided operating system patches on monthly basis for production, non-production,& support servers.","ehr systems, database servers, operating system, production & non-production servers","sql server 2008 & 2016, mysql, windows, ssrs",sn036_optima healthcare solutions_case study_database maintenance and support.pptx
37,isv,optima healthcare solutions,"a leading provider of cloud-based software for post-acute care providers, including contract therapy�companies, skilled nursing facilities, outpatient clinics and home health agencies?",healthcare,application integration,application integration through api,nitor developed an api that shared an admission/discharge and medication data (of the patients) in json format with each partner vendor. this api further tracked the response (success/failure) from the these partner vendors,medication data,"angular, java",sn037_optima healthcare solutions_case study_application integration through api.pptx
38,isv,parsable,"client�connects your frontline workers to the people, information, systems and machines needed to improve the safety, quality and productivity of work around the world.",it services & it consulting,product enhancement,"product development, enhancement, & integration with erp systems","nitor partnered with customer's product development team and designed an end-to-end system using react, android & ios based architectural components. backend was developed using go language and integration with sap pi was done using sap hana db on hana cloud platform","product development, architecture development, erp system integration","react, go language, android, ios, kafka, elb, aws, rds, sap pi, sap hana, hana cloud platform","sn038_parsable_case study_product development, enhancement & integration with erp system.pptx"
39,enterprise,praj industries,"client is a discrete manufacturer in areas like�bio-energy, high purity water solutions and engineering led businesses namely�zero liquid discharge solutions, critical process equipment & systems and brewery plants?.",manufacturing,iot,remote monitoring using iot,nitor developed a saas-based remote monitoring solution that could collect & visualize the real-time threshold values of machines on dashboards and give alerts about the proactive maintenance of the machines. this enabled the client with smart manufacturing and plant management,"threshold value of machines, smart manufacturing, plant management","microsoft azure (iot hub, even grid or hub), .net, angular (optional), c/c++ (optional), python, microsoft sql server cloud, nosql - cloud",sn039_praj_case study_remote monitoring using iot.pptx
40,enterprise,praj industries,"client is a discrete manufacturer in areas like�bio-energy, high purity water solutions and engineering led businesses namely�zero liquid discharge solutions, critical process equipment & systems and brewery plants?.",manufacturing,workflow automation,achieved smooth operations with the implementation of smart automation platform,"nitor developed a cloud-based web workflow automation solution which could be used to handle work intiate  process flow, create new projects and tasks, send task reminders & notifications, review and approval flows, and identify bottlenecks and delays, which could integrate & communicate with current it systems to provide integrated view to management.","workflow automation, project management, operations management, manual workflows, systems integration, document management, task management, schedule management","angular 9, asp.net core 3.1, c#, bootstrap, html 5",sn040_praj_case study_workflow automation.pdf
41,enterprise,rambus,"client creates innovative hardware and services that drive technology advancements to data centers, iot,�5g and automotive organizations",semiconductor manufacturing,data engineering,business intelligence & data management solution,"nitor developed an enterprise data warehouse solution to analyze the performance of client's business process like hr, finance, scm, inventory, procurement and sales. we designed a dimensional semantic data model & developed data pipelines to perform elt and cleanse the inconsistent data.","data warehouse, elt, data cleansing, data pipelines, data visualization","sql server, msbi suite (ssis, ssas tabular model), microsoft power bi, powershell",sn041_rambus_case study_business intelligence & data management solution.pdf
42,isv,reelfresh,client is technology startup founded in hawaii that focuses on ways to create opportunities for customers to bus fresh fishes at a decent cost,software development,mobile application development,mobile application development with serverless architecture,"nitor introduced a mobile application for small-scale fishermen having the potential to sell their fish directly to the locals, reducing the demand for fish caught using industrial fish practices. the app could potentially increase direct communication between fishermen and locals and also encourage fish caught to utilize sustainable options.","mobile application, fishermen, increase customer reach","react native (hybrid mobile application & admin web portal), redux, firebase hosting (admin panel hosting), react (admin web portal), firebase (end-to-end backend), firebase storage (filestore), firebase store (backedn database)",sn042_reelfresh_case study_mobile application development.pdf
43,enterprise,sony,"client is the global leader in media and entertainment industry. client�s principal businesses include television, music and motion pictures.�",media & entertainment,workflow automation,workflow automation & optimization,"client faced growth challenges due to their manual practice of certain business which they wanted to automated. hence, nitor developed a sharepoint-based automation platform & integrated it with sap which automated their content management, deal sheet (outlines terms and conditions of the business agreement between client's and their customers?), invoice order, purchase requisition, purhase order, other credits & re-issues and aquistion of movies/serials rights","content management, invoice order, purchase order, purchase requisition","sharepoint 2013, sap",sn043_sony_case study_workflow automation & optimization.pptx
44,enterprise,sony,"client is the global leader in media and entertainment industry. client�s principal businesses include television, music and motion pictures.�",media & entertainment,web application development,travel management system,"nitor developed a sharepoint-based travel management system as the client was facing challenges in tracking their travel itenary & expense reimbursement created by the administration. the developed system contained different modules like travel request, travel booking, expense reimbursement & foreign exchange which automated this entire process workflow for the client & its employees","travel management system, travel itenary, expense reimbursement, foreign exchange","sharepoint 2013, rest apis",sn044_sony_case study_travel management system.docx
45,isv,symphony ai (retail & cpg),"client is the only provider of end-to-end, integrated ai-powered merchandising, marketing and supply chain solutions, for retailers and cpg manufacturers",retail,power bi & analytics,transformation of retail analytics product,"nitor enhanced the client's existing retail analytics product suite by introducing power bi-based reporting platform, data model, data exploration & guided analytics. this helped the client with seamless user experience and development savings in terms of time & cost","retail analytics, reporting platform, data model, data exploration","power bi, angular, .net, d3js, pbi javascript client, azure sql server, azure cosmos db, yellow brick/mpp, azure data factory, azure service bus, azure databricks, azure devops",sn045_symphony retail ai_case study_transformation of retail analytics product.pdf
46,enterprise,stayfit,client manufactures & provide fitness solutions for commercial & home use clientele,fitness,web & mobile application development,consumer health app,"nitor developed a web & mobile application and integrated it with wearable devices to display vital health stats like blood pressure, pulse rate, heart rate, calories burnt, etc. the developed application was hosted on azure cloud","web & mobile application, wearable device, health stats, blood pressure, pulse rate, heart rate, calories burnt",".net, mvc 5, angular.js, css 3, twitter bootstrap framework, html 5 (chart.js, jquery), web api, cassandra (no sql), ble simulator, native mobile app (ios, android, windows)",sn046_stayfit_case study_consumer health app.pptx
47,isv,team boss,client is one of the leading fitness education provider in india,fitness,mobile application development,basketball sport management mobile application,"nitor developed an adnroid & ios-based mobile for managing the basketball sport that could be used by stakeholders like like coaches, players, parents and fans. the application had features of hosting tournaments, live streaming, game stats, chat, etc.","mobile application, basketball, tournament hosting, live streaming, game stats","mux video platform, firebase realtime db, node.js, react native, gcp, google storage, mongo db, google cloud run, sendgrid, twilio",sn047_team boss_case study_basketball sport management application.pptx
48,isv,ungerboeck,"client is a leading north american event management software company that provides a comprehensive platform to streamline financials, vendor management, sales, crm, booking/scheduling and reporting for venues, conferences, tradeshows, and exhibitions.",software development,application modernization,modernization of desktop-based and on-premise hosted application to a mobile-optimized web application hosted on cloud,nitor upgraded their 25-year old legacy desktop application to a cloud-based solution with a mobile optimized web app. the application was modernized by converting vb.net/c# desktop application to angular-based web app. the web app was fully scalable along with re-engineered ui/ux for better user experience.,"legacy desktop application, cloud-based solution, mobile optimized web app, ui/ux reengineering, user experience","vb.net, asp.net, silverlight, c#, typescript, es6, angular, html, css, sql server",sn048_ungerboeck_case study_desktop application modernization to web application.pdf
49,enterprise,unido,client is a specialized agency of the united nations that assists countries in economic and industrial development.,united nations agency,web application development,development of investment promotion portal,"nitor developed a feature-rich public website for the client where all the investment opportunities, financial services, affordable credit, etc. could be published while ensuring it is secure to use and would enhance the user experience through easy navigation?.","public website, investment opportunities, financial services, affordable credit","angular 8, material design, asp.net core, entity framework core, sql server, private cloud, azure ci-cd, source control system",sn049_unido_case study_development of investment promotion portal.pptx
50,enterprise,varroc,"client is an indian multinational automotive component manufacturer and supplier of exterior lighting systems, powertrains, electrical and electronics, body and chassis parts to passenger car and motorcycle segments.",automotive,web application development,idea monitoring & tracking solution,"nitor built a robust mobile-friendly & scalable solution based on kaizen's principle for recording & monitoring the ideas by employee-wise, team-wise, department-wise, plant-wise and business unit-wise and send them for approval. this helped the client in increased productvity & better employee engagement along with improved collaboration and streamlined business processes.","mobile-friendly, kaizen principle, idea recording & monitoring, employee engagement & collaboration","angular, .net core, azure vm, azure devops, sharepoint",sn050_varroc_case study_idea monitoring & tracking solution.pptx
51,enterprise,varroc,"client is an indian multinational automotive component manufacturer and supplier of exterior lighting systems, powertrains, electrical and electronics, body and chassis parts to passenger car and motorcycle segments.",automotive,ocr,ocr-based invoice management system,nitor developed a robust ocr-based invoice management solution that extracted the data from more than 1.5 lakhs invoices and entered the required data into their existing erp on monthly basis,"ocr, invoice management, data extraction","power automate suite, office 365, sharepoint, python, tesseract ocr",sn051_varroc_case study_ocr-based invoice management system.pdf
52,enterprise,vasta & associates,client is a special events company with over 20 years of experience specializing in the logistical details of large and high-profile events.,event management,web & mobile application development,event management application,"nitor developed a mobile application which helped the users to navigate from any location to the desired event. this mobile app also alerted about traffic situations and any emergency incidents?. we also developed a web portal for an admin team who could upload their google map drawings with custom traffic layout, view the heat map, & broadcast messages to the app users?.","mobile application, web application, navigation, traffic alerts, google map drwaings, heat map, broadcast messages",".net, mvc 4, angular.js, css 3, aws ec2 elb, cache cluster, ios, android, windows, skobbler sdk, web api, couch db (no sql)",sn052_vasta & associates_case study_event management app.pptx
53,isv,wheelhouse,client helps you manage your short-term rentals as professionally and efficiently as a major hotel�from understanding performance to better nightly pricing,software development,web application development,answering machine primer - voice to text,nitor developed a web portal that could effectively store questions & their respective answers. the admin can update these questions & answers through the questionnaire database using this portal. this helped the end user search for any question and the portal will display the exact or similar questions along with the corresponding asnwers.,"web portal, questions & answers, text search, voice search",".net mvc framework, c#, html, css, bootstrap, jquery, web api (swagger), sql server 2016, elastic search (text search), microphone.js (voice search)",sn053_wheelhouse_case study_answering machine primer (amp) - voice to text.pptx
54,isv,gha,leading us based medical billing services provider to healthcare providers�?,healthcare,testing,testing solution for medical billing services?,"nitor provided the customer with manual testing, test automation, performance testing & databbase testing to validate the functionalities of the customer's medical billing services","manual testing, test automation, performance testing, database testing, medical billing services, regression time",".net, silverlight, ms dynamic crm, test automation -  telerik test studio, ms visual studio - tfs, mtm",sn054_gha_case study_testing solution for medical billing services.pptx
55,isv,gha,leading us based medical billing services provider to healthcare providers�?,healthcare,application integration & enhancement,product enhancement and integration?,"nitor provided the customer with interface development, application development & quality assurance & testing services","interface development, application development, qa & testing, patient portal, pms application, emr","biztalk 2010, sql",sn055_gha_case study_product enhancement & integration.pptx
56,enterprise,indiacast,"client is india's first multi-platform ""content asset monetization"" entity, jointly owned by tv18 & viacom18",television & entertainment,intranet portal development,seamless communication within employees through nitovate eip,nitor deployed nitovate enterprise intranet portal (eip) with all the 25 user centric widgets on the existing o365 platform. nitor also performed the migration of existing documents from the existing platform to eip.,"employee communication, intranet portal, employee engagement","ms office 365, nitovate eip",sn056_indiacast_case study_intranet portal development.pdf
57,isv,perceptimed,client develops an advanced pill identification system designed to eliminate human errors in medication dispensing in pharmacies.,healthcare,application development,sending coupons to customers via mms,developed a application that helped the client to send coupons via mms to users' mobile by calling twillo api with media url and message content,"coupons, mms, api, message content",twillo,sn057_perceptimed_case study_sending coupons to customers via mms.pptx
